MMSI,Name,category,scene,timestamp_utc,sequence_index,observation_count,ais_lat,ais_lon,kalman_lat,kalman_lon,sog,cog,kalman_est_sog,kalman_est_cog,trajectory_point_source
412210000,RUI NING 3,Fishing,S1A_IW_GRDH_1SDV_20260216T112524_20260216T112549_063243_07F0C2_14CA,2026-02-16T11:25:24.000Z,1,1,1.25,104.08999634,1.25,104.08999634,20.312127,71.021830,20.312127,71.02183,kalman_est_lat_lon_from_AIS_position_updates
412377290,ZHE HAI 362,Cargo,S1A_IW_GRDH_1SDV_20260203T212720_20260203T212745_063060_07E9F3_64E5,2026-02-03T21:27:20.000Z,1,1,-3.78,122.5,-3.78,122.5,0.000000,0.000000,0,0,kalman_est_lat_lon_from_AIS_position_updates
412534000,MEI HUA HAI,Cargo,S1A_IW_GRDH_1SDV_20260203T104128_20260203T104157_063053_07E9B4_E4AE,2026-02-03T10:41:28.000Z,1,1,-8.49,115.83000183,-8.49,115.83000183,8.734738,15.779986,8.734738,15.779986,kalman_est_lat_lon_from_AIS_position_updates
413145000,XIN BEI LUN,Cargo,S1A_IW_GRDH_1SDV_20260201T214258_20260201T214323_063031_07E8E6_6469,2026-02-01T21:42:58.000Z,1,1,-1.19,118.83000183,-1.19,118.83000183,24.313705,20.221117,24.313705,20.221117,kalman_est_lat_lon_from_AIS_position_updates
414070000,TAO HUA HAI,Cargo,S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878,2026-02-01T21:42:08.000Z,1,1,2.57,119.55000305,2.57,119.55000305,6.631654,5.190337,6.631654,5.190337,kalman_est_lat_lon_from_AIS_position_updates
414145000,LAN HUA HAI,Cargo,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,2026-02-01T21:43:48.000Z,1,1,-4.21,117.98999786,-4.21,117.98999786,19.061058,208.113366,19.061058,208.113366,kalman_est_lat_lon_from_AIS_position_updates
414148000,GUO YUAN 32,Cargo,S1A_IW_GRDH_1SDV_20260209T221632_20260209T221657_063148_07ED3E_C6D4,2026-02-09T22:16:32.000Z,1,1,-3.86,110.33999634,-3.86,110.33999634,10.849128,276.348624,10.849128,276.348624,kalman_est_lat_lon_from_AIS_position_updates
414171000,ZHEHAI 515,Cargo,S1A_IW_GRDH_1SDV_20260209T203859_20260209T203924_063147_07ED35_F004,2026-02-09T20:38:59.000Z,1,1,-7.94,134.25,-7.94,134.25,14.013836,140.470863,14.013836,140.470863,kalman_est_lat_lon_from_AIS_position_updates
414751000,BAO XIANG LING,Cargo,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,2026-02-01T21:43:48.000Z,1,1,-4.17,118.08000183,-4.17,118.08000183,6.838690,37.802264,6.83869,37.802264,kalman_est_lat_lon_from_AIS_position_updates
416006701,HO HSIN HSING 603,Fishing,S1A_IW_GRDH_1SDV_20260219T115118_20260219T115146_063288_07F270_730B,2026-02-19T11:51:18.000Z,1,2,6.31,96.98999786,6.31,96.98999786,6.672886,100.348816,6.672886,100.348816,kalman_est_lat_lon_from_AIS_position_updates
