scene,scene_time_utc,MMSI,Name,Ship_Type,gfw_shiptype,Center_latitude,Center_longitude,Sog,Cog,AIS_Latitude,AIS_Longitude,sar_ais_distance_km,sar_projected_distance_km,sar_kalman_est_distance_km,AIS_update_time_gap_hours,ais_position_time_gap_hours,kalman_dt_hours,kalman_pred_residual_m,kalman_mmsi_observation_count,patch_rgb_vv_actual_file,patch_rgb_vh_actual_file,source_file,candidate_type,score,rule,evidence,neighbor_mmsi,neighbor_distance_km,neighbor_sog
S1A_IW_GRDH_1SDV_20260303T223214_20260303T223239_063469_07F964_7A45,2026-03-03T22:32:14Z,525005001,KM.CIREMAI,PASSENGER,PASSENGER,-0.1338501780775543,107.68076074402052,17.862998,243.188509,-4.543570279371762,112.4176025390625,719.2078712026604,,719.2081263909912,83.462778,,409.773611,11163068.193,3,Passenger_x15249_y5076_vv.png,Passenger_x15249_y5076_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 83.46 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260304T091115_20260304T091133_063475_07F9A3_C5EB,2026-03-04T09:11:15Z,525800144,KM  MARCEL JAYA 23,FISHING,FISHING,-8.192685649614868,139.1309087796066,0.0,0.0,-5.9,107.0,3553.999444717576,,3553.999444717576,1228.8125,,,,2,Fishing112_Fishing_x24777_y9841.png,Fishing112_Fishing_x24777_y9841_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1228.81 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260307T111519_20260307T111544_063520_07FB52_E555,2026-03-07T11:15:19Z,525200335,CAITLYN7,FISHING,FISHING,-5.94215513014343,105.96269021367488,0.0,0.0,2.0,126.80000305,2476.565287947232,,2476.5648028970727,965.255278,,288.0,2464718.467,2,Fishing112_Fishing_x6067_y14346.png,Fishing112_Fishing_x6067_y14346_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 965.26 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260307T111544_20260307T111609_063520_07FB52_A93E,2026-03-07T11:15:44Z,525901978,,FISHING,FISHING,-4.163054032216784,107.32377053148667,0.057061,35.50427,-6.0,108.80000305,261.6358008522252,,261.6358008522252,900.262222,,,,1,Fishing112_Fishing_x24802_y11385.png,Fishing112_Fishing_x24802_y11385_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 900.26 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260307T111659_20260307T111724_063520_07FB52_CF91,2026-03-07T11:16:59Z,525101278,CHARLY MEGAH UTAMA,FISHING,FISHING,0.3198316318455307,105.28228582709788,6.004054,180.0,-0.5,108.0,315.6442302855489,,315.6442302855489,1861.716944,,,,1,Fishing112_Fishing_x12796_y11800.png,Fishing112_Fishing_x12796_y11800_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1861.72 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260307T111724_20260307T111749_063520_07FB52_4317,2026-03-07T11:17:24Z,525112345,KM PERINTIS JAYA 26,FISHING,FISHING,1.2757574354019574,105.31638355659588,8.435924,224.616578,-9.3,114.59999847,1562.1304452131335,,1562.1304452131335,657.29,,,,1,Fishing112_Fishing_x16675_y17901.png,Fishing112_Fishing_x16675_y17901_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 657.29 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260307T202245_20260307T202310_063526_07FB88_8E99,2026-03-07T20:22:45Z,525800144,KM  MARCEL JAYA 23,FISHING,FISHING,-8.477025554162918,139.7080613666033,0.0,0.0,-5.9,107.0,3618.63852241058,,3618.63852241058,1145.620833,,83.191667,0.0,2,Fishing112_Fishing_x24887_y10660.png,Fishing112_Fishing_x24887_y10660_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1145.62 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260307T215922_20260307T215947_063527_07FB8F_1D9F,2026-03-07T21:59:22Z,525600718,,FISHING,FISHING,-1.704562466590326,116.63837737830892,0.385237,287.507469,-20.272503250134896,116.2518310546875,2065.090554009451,,2065.0905540048066,687.989444,,,,1,Fishing112_Fishing_x23892_y20476.png,Fishing112_Fishing_x23892_y20476_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 687.99 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260308T101800_20260308T101825_063534_07FBDD_64BC,2026-03-08T10:18:00Z,525100000,KLM GHINAYAH,FISHING,FISHING,-4.3284334155727855,120.84102715500012,0.0,0.0,-5.1,119.40000153,181.27905833111157,,181.27905833111157,1366.7,,132.448056,0.0,5,Fishing112_Fishing_x13749_y7996.png,Fishing112_Fishing_x13749_y7996_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1366.70 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260312T112524_20260312T112549_063593_07FE1B_C840,2026-03-12T11:25:24Z,525127888,KM CITRA WIJAYA,FISHING,FISHING,1.1686509080877985,103.4898516007509,5.370099,116.566814,-0.3,83.19999695,2261.907572390866,,2261.907572390866,856.576667,,,,1,Fishing112_Fishing_x17407_y10250.png,Fishing112_Fishing_x17407_y10250_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 856.58 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260313T211004_20260313T211029_063614_07FEE6_5BFD,2026-03-13T21:10:04Z,525900700,,FISHING,FISHING,-1.3461347563421624,127.46835386492056,0.01799,30.963784,-0.3,127.59999847,117.24223719395424,,117.24223719395424,473.832222,,551.315833,46466.943,2,Fishing112_Fishing_x8153_y13499.png,Fishing112_Fishing_x8153_y13499_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 473.83 hours from scene time.,,,
