candidate_type,score,scene,MMSI,Name,evidence,figure_path,vv_patch_path,vh_patch_path
spoofing,0.8702,S1A_IW_GRDH_1SDV_20260221T221631_20260221T221656_063323_07F3D5_5B26,525015879,DHARMA FERRY VI,SAR-AIS distance 14.61 km with time gap 0.28 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\220_spoofing_525015879_6_063323_07F3D5_5B26.png,new\Patch_RGB\Passenger_x19418_y11637_vv.png,new\Patch_RGB\Passenger_x19418_y11637_vh.png
spoofing,0.87,S1A_IW_GRDH_1SDV_20260202T114135_20260202T114200_063039_07E931_6DD7,525601478,WIRA HARMONI,SAR-AIS distance 14.60 km with time gap 0.31 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\221_spoofing_525601478_0_063039_07E931_6DD7.png,new\Patch_RGB\Cargo_x19367_y16747.png,new\Patch_RGB\Cargo_x19367_y16747_vh.png
spoofing,0.8695,S1A_IW_GRDH_1SDV_20260204T203053_20260204T203118_063074_07EA72_AB11,255806141,BBC MARMARA,SAR-AIS distance 14.59 km with time gap 0.49 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\222_spoofing_255806141_8_063074_07EA72_AB11.png,new\Patch_RGB\Cargo_x16468_y19315.png,new\Patch_RGB\Cargo_x16468_y19315_vh.png
spoofing,0.8565,S1A_IW_GRDH_1SDV_20260209T113244_20260209T113309_063141_07ECFF_9540,352004613,BRIGHT KING,SAR-AIS distance 14.20 km with time gap 0.45 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\223_spoofing_352004613_9_063141_07ECFF_9540.png,new\Patch_RGB\Cargo_x6739_y19251.png,new\Patch_RGB\Cargo_x6739_y19251_vh.png
spoofing,0.8505,S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878,256828000,AFALES,SAR-AIS distance 14.02 km with time gap 0.30 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\224_spoofing_256828000_3_063031_07E8E6_8878.png,new\Patch_RGB\Cargo_x2737_y6656.png,new\Patch_RGB\Cargo_x2737_y6656_vh.png
spoofing,0.8489,S1A_IW_GRDH_1SDV_20260218T201449_20260218T201514_063278_07F21A_600D,525900595,KARYA SEMPURNA 6,SAR-AIS distance 13.97 km with time gap 0.25 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\225_spoofing_525900595_4_063278_07F21A_600D.png,new\Patch_RGB\Fishing100_Fishing_x4503_y6021.png,new\Patch_RGB\Fishing100_Fishing_x4503_y6021_vh.png
spoofing,0.8456,S1A_IW_GRDH_1SDV_20260212T210149_20260212T210214_063191_07EED2_698E,525008009,KMP.ARAR,SAR-AIS distance 13.87 km with time gap 0.03 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\226_spoofing_525008009_4_063191_07EED2_698E.png,new\Patch_RGB\Passenger_x21965_y7328_vv.png,new\Patch_RGB\Passenger_x21965_y7328_vh.png
spoofing,0.8404,S1A_IW_GRDH_1SDV_20260303T223214_20260303T223239_063469_07F964_7A45,574001800,STAR 62,SAR-AIS distance 13.71 km with time gap 0.46 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\227_spoofing_574001800_9_063469_07F964_7A45.png,new\Patch_RGB\Cargo_x6186_y12737_vv.png,new\Patch_RGB\Cargo_x6186_y12737_vh.png
spoofing,0.8382,S1A_IW_GRDH_1SDV_20260201T232040_20260201T232103_063032_07E8EF_DA7C,636022823,SDM BEIHAI,SAR-AIS distance 13.65 km with time gap 0.34 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\228_spoofing_636022823_3_063032_07E8EF_DA7C.png,new\Patch_RGB\Cargo_x9195_y13792.png,new\Patch_RGB\Cargo_x9195_y13792_vh.png
spoofing,0.8381,S1A_IW_GRDH_1SDV_20260202T204730_20260202T204755_063045_07E96C_8B5B,525100392,SPIL HAPSRI,SAR-AIS distance 13.64 km with time gap 0.21 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\229_spoofing_525100392_5_063045_07E96C_8B5B.png,new\Patch_RGB\Cargo_x10334_y10130.png,new\Patch_RGB\Cargo_x10334_y10130_vh.png
